;HashId;ProjectName;UpdateAt;TimeToUpdate;CreatedAt;Age;PrimaryLanguage;Stargazers;TotalOfPullRequests;TotalOfReleases;TotalOfIssues;TotalOfClosedIssues
66;MDEwOlJlcG9zaXRvcnkzNjc4NzMx;webpack/webpack;18/08/2021;0;10/03/2012;3448;JavaScript;59062;3850;340;8431;8244
67;MDEwOlJlcG9zaXRvcnkxODQ0NTYyNTE=;microsoft/PowerToys;19/08/2021;0;01/05/2019;840;C#;58784;2615;41;9835;7974
68;MDEwOlJlcG9zaXRvcnk3MjQ3MTI=;rust-lang/rust;19/08/2021;0;16/06/2010;4081;Rust;57879;35750;89;40318;33174
69;MDEwOlJlcG9zaXRvcnkyNjUwMDc4Nw==;tonsky/FiraCode;19/08/2021;0;11/11/2014;2472;Clojure;57723;106;26;1100;823
70;MDEwOlJlcG9zaXRvcnkxODYxNDU4;hakimel/reveal.js;19/08/2021;0;07/06/2011;3725;JavaScript;56984;349;34;2001;1429
71;MDEwOlJlcG9zaXRvcnk0NDgzODk0OQ==;apple/swift;19/08/2021;0;23/10/2015;2126;C++;56955;34019;33;0;0
72;MDEwOlJlcG9zaXRvcnk2Mjk2Nzkw;spring-projects/spring-boot;19/08/2021;0;19/10/2012;3225;Java;56729;41;103;22681;22226
73;MDEwOlJlcG9zaXRvcnkzNjUzNTE1Ng==;reduxjs/redux;18/08/2021;0;29/05/2015;2273;TypeScript;56506;1438;64;1899;1866
74;MDEwOlJlcG9zaXRvcnkxMTgxOTI3;bitcoin/bitcoin;19/08/2021;0;19/12/2010;3895;C++;56449;10548;35;6403;5789
75;MDEwOlJlcG9zaXRvcnk1OTY4OTI=;pallets/flask;19/08/2021;0;06/04/2010;4152;Python;56348;1247;14;2186;2169
76;MDEwOlJlcG9zaXRvcnk2MjYwNzIyNw==;yangshun/tech-interview-handbook;19/08/2021;0;05/07/2016;1870;JavaScript;56160;142;0;31;26
77;MDEwOlJlcG9zaXRvcnk1MTA4MDUx;opencv/opencv;19/08/2021;0;19/07/2012;3317;C++;56126;9898;54;8221;6324
78;MDEwOlJlcG9zaXRvcnk1MDc3NzU=;elastic/elasticsearch;19/08/2021;0;08/02/2010;4209;Java;56102;41417;55;27719;24716
79;MDEwOlJlcG9zaXRvcnkxNTE4MzQwNjI=;doocs/advanced-java;19/08/2021;0;06/10/2018;1047;Java;56032;61;0;115;112
80;MDEwOlJlcG9zaXRvcnkzMjI4NTA1;atom/atom;19/08/2021;0;20/01/2012;3498;JavaScript;55905;3876;534;16646;15915
81;MDEwOlJlcG9zaXRvcnkxNDc0NzU5OA==;typicode/json-server;19/08/2021;0;27/11/2013;2821;JavaScript;55769;97;10;955;438
82;MDEwOlJlcG9zaXRvcnk3NDc5MTM2Ng==;ryanmcdermott/clean-code-javascript;19/08/2021;0;25/11/2016;1727;JavaScript;55618;146;0;106;72
83;MDEwOlJlcG9zaXRvcnkxMDc0NDE4Mw==;netdata/netdata;19/08/2021;0;17/06/2013;2984;C;55614;4454;47;6347;6084
84;MDEwOlJlcG9zaXRvcnkxMDcxMTE0MjE=;thedaviddias/Front-End-Checklist;19/08/2021;0;16/10/2017;1402;-;55551;168;1;126;125
85;MDEwOlJlcG9zaXRvcnkxNjcxNzQ=;jquery/jquery;18/08/2021;0;03/04/2009;4520;JavaScript;55254;516;2;2122;2055
86;MDEwOlJlcG9zaXRvcnk4ODAxMTkwOA==;tuvtran/project-based-learning;19/08/2021;0;12/04/2017;1589;-;54788;132;0;44;20
87;MDEwOlJlcG9zaXRvcnk4ODQzNjgz;chartjs/Chart.js;18/08/2021;0;17/03/2013;3076;JavaScript;54524;2462;81;6057;5968
88;MDEwOlJlcG9zaXRvcnk1NTc5ODA=;socketio/socket.io;18/08/2021;0;11/03/2010;4178;JavaScript;54164;395;40;3079;2930
89;MDEwOlJlcG9zaXRvcnkyMzcxNTk=;expressjs/express;18/08/2021;0;26/06/2009;4436;JavaScript;54075;220;141;3568;3459
90;MDEwOlJlcG9zaXRvcnkxMjgzOTg2MzY=;xingshaocheng/architect-awesome;19/08/2021;0;06/04/2018;1230;-;53980;49;0;64;19
91;MDEwOlJlcG9zaXRvcnkxMTE4MDY4Nw==;gohugoio/hugo;18/08/2021;0;04/07/2013;2967;Go;53554;1438;163;5501;4908
92;MDEwOlJlcG9zaXRvcnk4MTk3NTM3Mg==;kdn251/interviews;19/08/2021;0;14/02/2017;1646;Java;53531;42;0;46;18
93;MDEwOlJlcG9zaXRvcnkxMTE1ODM1OTM=;Genymobile/scrcpy;19/08/2021;0;21/11/2017;1366;C;53183;25;22;2326;1506
94;MDEwOlJlcG9zaXRvcnk0MzExNzk2;adam-p/markdown-here;19/08/2021;0;13/05/2012;3384;JavaScript;52780;20;11;576;302
95;MDEwOlJlcG9zaXRvcnk3NjAwNDA5;shadowsocks/shadowsocks-windows;19/08/2021;0;14/01/2013;3138;C#;52770;277;54;2702;2666
96;MDEwOlJlcG9zaXRvcnkzMzAxNTU4Mw==;keras-team/keras;19/08/2021;0;28/03/2015;2335;Python;52161;2480;28;10705;10333
97;MDEwOlJlcG9zaXRvcnkxMjc5ODgwMTE=;macrozheng/mall;19/08/2021;0;04/04/2018;1232;Java;51803;0;1;400;381
98;MDEwOlJlcG9zaXRvcnkzNTQ0NDI0;httpie/httpie;18/08/2021;0;25/02/2012;3462;Python;51674;193;36;692;572
99;MDEwOlJlcG9zaXRvcnkxODQwODYzNQ==;chrislgarry/Apollo-11;18/08/2021;0;03/04/2014;2694;Assembly;51287;296;0;367;309
100;MDEwOlJlcG9zaXRvcnk0ODY1NTA=;h5bp/html5-boilerplate;19/08/2021;0;24/01/2010;4224;JavaScript;51189;511;32;1223;1214
101;MDEwOlJlcG9zaXRvcnkzNjA0MDg5NA==;gatsbyjs/gatsby;19/08/2021;0;21/05/2015;2281;JavaScript;51085;15243;94;12905;12694
102;MDEwOlJlcG9zaXRvcnkyMTg3MjM5Mg==;josephmisiti/awesome-machine-learning;18/08/2021;0;15/07/2014;2591;Python;51068;685;0;70;70
103;MDEwOlJlcG9zaXRvcnk2MTIyMzA=;nvm-sh/nvm;18/08/2021;0;15/04/2010;4143;Shell;50753;616;58;1605;1346
104;MDEwOlJlcG9zaXRvcnk2NzI3NDczNg==;ElemeFE/element;19/08/2021;0;03/09/2016;1810;Vue;50673;3135;136;16543;14835
105;MDEwOlJlcG9zaXRvcnkxNTYwMTg=;redis/redis;19/08/2021;0;21/03/2009;4533;C;50629;2102;23;4961;3360
106;MDEwOlJlcG9zaXRvcnkyMDkwNDQzNw==;gin-gonic/gin;19/08/2021;0;16/06/2014;2620;Go;50625;720;18;1647;1314
107;MDEwOlJlcG9zaXRvcnkzOTU1NjQ3;lodash/lodash;19/08/2021;0;07/04/2012;3420;JavaScript;50417;573;2;3978;3809
108;MDEwOlJlcG9zaXRvcnk2NTYwMDk3NQ==;pytorch/pytorch;19/08/2021;0;13/08/2016;1831;C++;50181;4583;34;21755;15147
109;MDEwOlJlcG9zaXRvcnkyMzM1NzU4OA==;protocolbuffers/protobuf;19/08/2021;0;26/08/2014;2549;C++;50167;3149;78;4554;3441
110;MDEwOlJlcG9zaXRvcnkxNTUyMjA2NDE=;huggingface/transformers;19/08/2021;0;29/10/2018;1024;Python;50093;4476;65;7535;7197
111;MDEwOlJlcG9zaXRvcnkzNDAyNTM3;h5bp/Front-end-Developer-Interview-Questions;19/08/2021;0;09/02/2012;3478;Nunjucks;50051;382;0;113;110
112;MDEwOlJlcG9zaXRvcnkzNjM4OTY0;ansible/ansible;19/08/2021;0;06/03/2012;3452;Python;49550;33872;3;29529;28445
113;MDEwOlJlcG9zaXRvcnk3NDI5MzMyMQ==;sveltejs/svelte;19/08/2021;0;20/11/2016;1732;TypeScript;49530;2146;0;3868;3379
114;MDEwOlJlcG9zaXRvcnk5MzA5MDkz;Semantic-Org/Semantic-UI;18/08/2021;0;08/04/2013;3054;JavaScript;49487;351;153;6163;5230
115;MDEwOlJlcG9zaXRvcnkxMzM0MzY5;resume/resume.github.com;18/08/2021;0;06/02/2011;3846;JavaScript;49461;84;0;93;56
116;MDEwOlJlcG9zaXRvcnk4NTE0;rails/rails;19/08/2021;0;11/04/2008;4877;Ruby;48867;18588;45;14903;14559
117;MDEwOlJlcG9zaXRvcnkxMjA1MzgzMDQ=;kelseyhightower/nocode;19/08/2021;0;06/02/2018;1289;Dockerfile;48537;1;1;4015;514
118;MDEwOlJlcG9zaXRvcnkzMjQ4NDM4MQ==;ripienaar/free-for-dev;19/08/2021;0;18/03/2015;2345;HTML;48490;1567;0;0;0
119;MDEwOlJlcG9zaXRvcnk0ODM3ODk0Nw==;fatedier/frp;19/08/2021;0;21/12/2015;2067;Go;47640;336;65;2022;1936
120;MDEwOlJlcG9zaXRvcnk5MTg1Nzky;apache/echarts;19/08/2021;0;03/04/2013;3059;TypeScript;47489;829;89;14360;12129
121;MDEwOlJlcG9zaXRvcnkxMzgzOTMxMzk=;trimstray/the-book-of-secret-knowledge;19/08/2021;0;23/06/2018;1152;-;47459;105;0;53;47
